Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/31/2017,7.7,Hotel Arena, United Kingdom , My room was dirty and I was afraid to walk barefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my room was leaking luckily not on the bed you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a room next door at midnight was very noisy as were many of the guests I understand the challenges of running a hotel in an old building but this negligence is inconsistent with prices demanded by the hotel On the last night after I complained about water damage the night shift manager offered to move me to a different room but that offer came pretty late around midnight when I was already in bed and ready to sleep ,210,1403, Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character ,26,1,3.8,"[' Leisure trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 3 nights ']",3 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/24/2017,7.7,Hotel Arena, New Zealand , You When I booked with your company on line you showed me pictures of a room I thought I was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again ,140,1403, Amazing location and building Romantic setting ,8,3,6.7,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",10 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/17/2017,7.7,Hotel Arena, United Kingdom , Cleaner did not change our sheet and duvet everyday but just made bed They also didn t clean the floor and changed the body gel when we run out of it ,33,1403, The room is spacious and bright The hotel is located in a quiet and beautiful park ,18,6,4.6,"[' Leisure trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",17 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/17/2017,7.7,Hotel Arena, United Kingdom , Apart from the price for the brekfast Everything very good,11,1403, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,1,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",17 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-07-2017,7.7,Hotel Arena, United Kingdom , Nothing all great ,5,1403, Rooms were stunningly decorated and really spacious in the top of the building Pictures are of room 300 The true beauty of the building has been kept but modernised brilliantly Also the bath was lovely and big and inviting Great more for couples Restaurant menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of Amsterdam Would recommend this hotel to anyone it s unbelievably well priced too ,101,2,10,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",27 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-06-2017,7.7,Hotel Arena, France , 6 30 AM started big noise workers loading wood down the windows Stupid room numbering system it took 20 Minutes with a night guard finally to find our rooms The check in staff pointed us in the wrong direction No late dinner bar closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and hotel price 260 ,75,1403, Style location rooms,4,12,5.8,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",28 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-06-2017,7.7,Hotel Arena, United Kingdom , The floor in my room was filfy dirty Very basic rooms I had a 20yr old tv in my room Fridge did not work Overpriced breakfast ,28,1403, Comfy bed good location ,6,7,4.6,"[' Leisure trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",28 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-03-2017,7.7,Hotel Arena, United Kingdom , Very steep steps in room up to the bed not safe for children I asked to move rooms and was put in another identical one Room decoration was minamilist which I like but felt prison cell sparse,38,1403, Great onsite cafe Amazing building Park location Amazing Bobby Gin and Tonic ,14,8,6.3,"[' Leisure trip ', ' Family with young children ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",31 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/29/2017,7.7,Hotel Arena, Netherlands ,No Negative,0,1403, Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues ,33,4,7.1,"[' Business trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ']",35 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/19/2017,7.7,Hotel Arena, United Kingdom , Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit ,40,1403, Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area ,17,1,6.3,"[' Leisure trip ', ' Travelers with friends ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45 days,52.3605759,4.9159683
